,KIC,Teff,eTeff,age,loage,upage,modmass,lomodmass,upmodmass,feh,efeh,modlogg,upmodlogg,lomodlogg,nus*,l_nus*,u_nus*,i,l_i,u_i,P,l_P,u_P,flag,hrclass,source
13,4914923,5805,77,7.5678,1.7886,1.6609,1.0586,0.0494,0.0589,0.08,0.1,4.1965,0.0099,0.0077,0.390523762486692,0.025945803995495002,0.025960853759333997,46.64947890014286,8.055747508914257,13.269670720954858,21.393839446607398,3.53673493083383,5.394344885994201,0,MS,L
14,5094751,5952,75,6.35,1.05,1.05,1.068,0.04,0.04,-0.08,0.1,4.213,0.008,0.006999999999999999,0.386225391204606,0.161393469412189,0.268333837082391,51.54741439365872,31.13723278558719,26.69389782295505,22.8634027226402,15.797263010879,19.270130898463897,0,MS,K
15,5184732,5846,77,4.8529,0.8784,1.5651,1.1479,0.0589,0.0399,0.36,0.1,4.2548,0.0077,0.0099,0.5497699597582391,0.019323675458167,0.019082314065196,71.33585689773767,10.767193312025665,11.228932108347413,19.907542582927803,1.86572843109557,1.28215079081014,0,MS,L
16,5773345,6130,84,2.5533,0.2396,0.2555,1.469,0.0304,0.0285,0.21,0.09,3.9930000000000003,0.0066,0.0077,1.0765246199980099,0.07690108942278799,0.07586334139489999,33.67900531346299,2.4721588301605557,2.7596639154997953,5.9283967601131105,0.508976979607303,0.707414683608324,0,SG,L
17,5866724,6169,50,3.89,0.48,0.59,1.199,0.03,0.028999999999999998,0.09,0.08,4.224,0.005,0.006999999999999999,1.34317315267467,0.077114383714495,0.068883481166562,80.9394498164991,9.35132653877655,6.340441000993234,8.44320091275549,0.501147027678773,0.5476702810366749,0,MS,K
18,5950854,5853,77,8.9253,1.1498,1.1179,0.9693,0.0304,0.0285,-0.23,0.1,4.2383,0.0066,0.0066,0.293137129122107,0.12385788788302,0.6359019868900799,27.59451106325517,15.187223985609688,46.022099571404574,22.9060784861767,19.7028610563082,34.17698274304001,1,MS,L
19,6106415,6037,77,5.0286,1.1179,1.2776,1.0681,0.0399,0.0513,-0.04,0.1,4.2955,0.0088,0.0088,0.693731734567682,0.015790002547512,0.015694124492210998,73.10826941065706,6.325807991462388,8.364071416637685,15.953761277077,0.777762945975459,0.69538570837981,0,MS,L
20,6116048,6033,77,9.5801,1.9004,2.1559,0.9389,0.0513,0.0494,-0.23,0.1,4.2537,0.0121,0.0088,0.625016616614218,0.01867783912178,0.018865477160329,76.26219670494554,10.1791839699449,8.974545021861406,17.9010724504913,1.18520957380141,0.849630580139806,0,MS,L
21,6196457,5871,94,5.52,0.48,0.51,1.209,0.03,0.019,0.17,0.11,4.0489999999999995,0.004,0.005,0.433971075810601,0.19395463167592303,0.28401103240326797,52.511535402974765,29.101818008413588,25.97390421590893,20.692242583579,13.744758170002502,19.2346856743071,0,MS,K
22,6225718,6313,76,2.4095,0.4312,0.527,1.1593,0.0304,0.0304,-0.07,0.1,4.3186,0.0066,0.0055,0.814347966620799,0.03488569979870101,0.034471289155111,29.05662715794519,1.7683953718049685,2.1214981731691216,6.885850510513901,0.454051391475692,0.5774871499478149,0,H,L
23,6278762,5046,74,11.54,0.94,0.99,0.7390000000000001,0.011000000000000001,0.009000000000000001,-0.37,0.09,4.56,0.003,0.002,0.301131174329217,0.086605709055892,0.08646672201786099,62.17509096074416,29.51152277651658,19.01174712978294,32.9706881431425,13.5051103659028,13.5557266900895,3,MS,K
