IDX,KIC,Teff,age,dnu,eTeff,ednu,efeh,enumax,feh,loage,lomodlogg,lomodmass,lomodrad,modlogg,modmass,modrad,numax,source,upage,upmodlogg,upmodmass,upmodrad,G,bprp,hrclass,nus+ACo-,l+AF8-nus+ACo-,u+AF8-nus+ACo-,cosi,l+AF8-cosi,u+AF8-cosi,i,l+AF8-i,u+AF8-i,nus,l+AF8-nus,u+AF8-nus,P,l+AF8-P,u+AF8-P,vsini,l+AF8-vsini,u+AF8-vsini,fit+AF8-numax,efit+AF8-numax,fit+AF8-d01,efit+AF8-d01,fit+AF8-d02,efit+AF8-d02,fit+AF8-epsilon,efit+AF8-epsilon,V1,eV1,V2,eV2,rhat+AF8-flag,eye+AF8-flag,comment,neff+AF8-xsplit,neff+AF8-cosi,neff+AF8-split,neff+AF8-i,ebprp
10,5950854,5853,8.9253,96.629,77,0.102,0.1,21.9,+AC0-0.23,1.1498,0.0066,0.0304,0.012,4.2383,0.9693,1.2366,1926.7,L,1.1179,0.0066,0.0285,0.018,10.908018,0.7983141,MS,0.293137129122107,0.12385788788302,0.63590198689008,0.886247929350037,0.604184607498348,0.090397030265956,0.481615073531804,0.265067062786745,0.803237166201681,0.505284674079325,0.302526202898802,3.10798053313337,22.9060784861767,19.7028610563082,34.17698274304,1.58453539239064,0.669506478299603,3.43733053310739,1930.66567251543,8.21856846492005,0.44802454592018,0.004850911551362,0.05486281552112,0.003315344720291,1.43236574351443,0.001983636354182,1.22650251533847,0.06119531343844,0.760364900907766,0.056295366466713,,1,+ACI-Bimodel +ACY- diverged, but median looks okay +ACI-,263,329,601,283,0.002630617528772
11,6106415,6037,5.0286,104.074,77,0.023,0.1,4.6,+AC0-0.04,1.1179,0.0088,0.0399,0.018,4.2955,1.0681,1.2186,2248.6,L,1.2776,0.0088,0.0513,0.018,7.059701,0.7308197,MS,0.693731734567682,0.015790002547512,0.015694124492211,0.290564094965691,0.142277259997028,0.103659148967283,1.27598001165102,0.110406177299988,0.145980585092274,0.72547619810972,0.030300998561975,0.037180322274778,15.953761277077,0.777762945975459,0.69538570837981,3.69534173668008,0.084109537633399,0.083598818342746,2252.71760852001,5.13201418957306,0.466721745334805,0.004731243462371,0.064653746752683,0.002880078736619,1.34552856223037,0.001670524055543,1.27793272874644,0.028697553901818,0.797434936889077,0.024374359201888,,0,,8627,2427,3895,2472,0.003195094602182
12,6116048,6033,9.5801,100.754,77,0.017,0.1,5.5,+AC0-0.23,1.9004,0.0088,0.0513,0.018,4.2537,0.9389,1.1916,2126.9,L,2.1559,0.0121,0.0494,0.021,8.369842,0.73460054,MS,0.625016616614218,0.01867783912178,0.018865477160329,0.237479114682208,0.154440303620893,0.167933514271011,1.33102642730487,0.177660275441766,0.156635359499948,0.646557579568409,0.02929677312095,0.04584305586303,17.9010724504913,1.18520957380141,0.849630580139806,3.25554670211873,0.097287937535181,0.098265294586743,2128.88925045382,5.83405772143669,0.463642508822726,0.005671474025502,0.063495793606357,0.00286226800214,1.34261489804205,0.002191181282903,1.28090032897284,0.035060915533661,0.812095512061136,0.027738309730506,,0,,5063,3134,4187,3241,0.004195048973038
13,6225718,6313,2.4095,105.695,76,0.018,0.1,4.9,+AC0-0.07,0.4312,0.0055,0.0304,0.015,4.3186,1.1593,1.2336,2364.2,L,0.527,0.0066,0.0304,0.012,7.403161,0.66492414,H,0.814347966620799,0.034885699798701,0.034471289155111,0.874140127847357,0.018578155224324,0.014571289811043,0.507133813430546,0.030864321715026,0.037027128196846,1.68084887357452,0.130058241846317,0.118659143321803,6.8858505105139,0.454051391475692,0.577487149947815,4.39123064642031,0.188115106019791,0.185880468256912,2364.8765160868,6.28001273321706,0.467653401799137,0.003790183916516,0.079905850813713,0.002538623904617,1.22585862163172,0.001910294978389,1.26519281866431,0.029990323828227,0.805560532546394,0.02398762044726,,0,,4038,3336,3751,3415,0.004930653124942
14,6508366,6331,2.0582,51.553,77,0.046,0.1,4.6,+AC0-0.05,0.1437,0.0055,0.019,0.021,3.9424,1.5279,2.1873,958.3,L,0.1278,0.0066,0.0304,0.018,8.882118,0.6480303,SG,2.27875926427571,0.044032691036342,0.042935022156217,0.053031182045262,0.036367757768924,0.055364993903303,1.51774025658407,0.055553506999542,0.036391874683369,2.2850640292282,0.045287081776766,0.043920960432715,5.06509836312282,0.09551971581355,0.102413556868168,21.7875638052058,0.421003254055499,0.410508274994914,955.49643449517,4.48257181022723,0.440995461944269,0.007158413898583,0.051221301352314,0.004326327371618,1.01311447866364,0.003998824127423,1.33722429353637,0.041482241623418,0.977214476157357,0.047208871682167,,0,,5035,5753,5167,5767,0.005016357238557
15,6603624,5674,7.8234,110.128,77,0.012,0.1,5.4,0.28,0.8624,0.0044,0.0209,0.009,4.3197,1.0092,1.1497,2384,L,0.9422,0.0055,0.0285,0.012,9.043605,0.8940811,MS,1.13447149840612,0.132165388588352,0.127662740101165,0.992770546075395,0.00167975016311,0.001561284310208,0.120317759205669,0.013795156778412,0.013267154480577,9.50044355843955,0.277923097623646,0.151209486803797,1.21826670549047,0.019086210690419,0.036712789892574,5.7013800607308,0.664208058355838,0.641579627107106,2388.97350264137,7.00015918832833,0.471305751795188,0.00386063313456,0.049348683884558,0.002910886109971,1.49841428342823,0.00211993857437,1.2308283786922,0.045945787062867,0.753412263891128,0.034320976162802,,0,,3714,4629,3030,4099,0.005525904372943
16,6679371,6479,1.9464,50.601,77,0.029,0.1,5.1,0.01,0.1597,0.0066,0.019,0.024,3.9336,1.5279,2.2143,941.8,L,0.1757,0.0077,0.0399,0.024,8.642802,0.62110233,SG,1.89537436092275,0.055538419756144,0.052062211934474,0.137154333544467,0.095420160278919,0.122756683095534,1.43320830305374,0.125342027695421,0.095841725884231,1.92356849751237,0.066792326838005,0.072179849219858,6.01698046602947,0.21761498268085,0.216444034450512,18.3456596975704,0.537566071375466,0.503919248326039,943.102939339459,3.95790430584543,0.442088895876888,0.00669032582509,0.059964415467286,0.0050418518743,0.884605572576188,0.005200515763068,1.35045100067642,0.041739848075119,0.950428254708756,0.048305624091352,,0,,2371,4237,2740,4280,0.003526543711881
17,6933899,5832,6.3381,72.135,77,0.018,0.1,3.9,+AC0-0.01,0.6228,0.0077,0.0304,0.015,4.0865,1.1289,1.5875,1389.9,L,0.7187,0.0066,0.0285,0.018,9.582934,0.8122387,SG,0.360115402452547,0.023033270790579,0.021967583186741,0.432999269429134,0.266606730644615,0.204817218016835,1.12297882584765,0.243842387987972,0.280647430922672,0.400403413979179,0.045434773332524,0.08042457143356,28.9060325265692,4.83490017429016,3.69987334375018,2.49894848053673,0.159834754781121,0.152439629773411,1388.98297605083,3.76956916331892,0.42454735307867,0.002790734055728,0.069056164646823,0.002595990414341,1.32008336682906,0.001929765534699,1.29984955150347,0.037054936504908,0.802742365268317,0.028334648340089,,0,,5564,3429,4617,3636,0.004736328924472
18,7103006,6344,2.4734,59.658,77,0.029,0.1,7.2,0.02,0.2396,0.0066,0.019,0.021,4.015,1.4177,1.9444,1167.9,L,0.2236,0.0066,0.0399,0.018,8.758155,0.6526804,SG,1.3590860459112,0.089268765858885,0.082486958772743,0.547052555435527,0.231448044857578,0.121849610775298,0.991957182013545,0.153891787187214,0.257745487217322,1.63107966805967,0.256461097172642,0.269049221094193,7.09595877067244,1.00475403178112,1.32388533680198,11.5513950741971,0.758729578104541,0.701088391069552,1161.60174939794,6.15659465203225,0.452695037541098,0.005751524109774,0.07101802740211,0.006045023339405,0.988006402110008,0.004052411687083,1.31526530672426,0.046388636310161,0.818394626539442,0.060371546224215,,0,,968,1585,1564,1703,0.004910655026342
19,7106245,6068,6.2732,111.376,102,0.063,0.19,24,+AC0-0.99,1.0591,0.007,0.0379,0.012,4.3254,0.9214,1.0959,2397.9,L,1.0591,0.007,0.0216,0.012,10.714183,0.75924873,MS,0.315397648429442,0.101607431401447,0.157316306879461,0.834455201062293,0.523326349717565,0.112594378508098,0.583652891598106,0.256775470388783,0.670762815589583,0.540551155441327,0.284423105606435,0.871620437686412,21.41161698672,13.2156761632007,23.7770069633356,1.51088444349671,0.486741382545371,0.753609806401918,2397.01483473642,8.79449718881915,0.467378444247843,0.002705924829051,0.061442442306273,0.003289058328017,1.39355213360684,0.001833086024772,1.21698724556835,0.052976898104882,0.780234655007068,0.046929704346468,,1,+ACI-funky sampling in cosi, median looks good+ACI-,984,1769,588,1596,0.002155695777636
