,KIC,Teff,age,dnu,eTeff,ednu,efeh,enumax,feh,loage,lomodlogg,lomodmass,lomodrad,modlogg,modmass,modrad,numax,source,upage,upmodlogg,upmodmass,upmodrad,G,bprp,nus*,l_nus*,u_nus*,cosi,l_cosi,u_cosi,i,l_i,u_i,nus,l_nus,u_nus,P,l_P,u_P,vsini,l_vsini,u_vsini,fit_numax,efit_numax,fit_d01,efit_d01,fit_d02,efit_d02,fit_epsilon,efit_epsilon,V1,eV1,V2,eV2,flag,chainflag,ebprp
10,5950854,5853,8.9253,96.62899999999999,77,0.102,0.1,21.9,-0.23,1.1498,0.0066,0.0304,0.012,4.2383,0.9693,1.2366,1926.7,L,1.1179,0.0066,0.0285,0.018000000000000002,10.908017999999998,0.7983140999999999,0.20841692991292324,0.1430909418354802,0.7727175675276199,0.7959801708551892,0.5562177768291883,0.17761387657379135,0.6501712132834316,0.4198540851510903,0.6785040080580051,0.2726018948690452,0.18961978086250958,3.340466354459248,42.45779239269146,39.25440035091006,97.01894725926459,1.1265853725505484,0.7734696124910992,4.176879052259173,1930.5373962530066,8.170856726643478,0.44800935951876575,0.004837125663125219,0.05505879115374651,0.0032011250992040954,1.4323024012303422,0.0018741097118064598,1.2196351649805557,0.06067511076859855,0.7554781163104307,0.055147996638065244,,2,0.002630617528772342
11,6106415,6037,5.0286,104.074,77,0.023,0.1,4.6,-0.04,1.1179,0.0088,0.0399,0.018000000000000002,4.2955,1.0681,1.2186,2248.6,L,1.2776,0.0088,0.0513,0.018000000000000002,7.059701,0.7308197,0.6947527347849415,0.015988038928505865,0.015633436208503326,0.3227613996490466,0.1327533699929205,0.08855801644701206,1.2421507393242688,0.0952555383896101,0.13747526149798617,0.7345058911856369,0.03453914346902265,0.03629688769301698,15.757632740538792,0.7420225326480683,0.7775442746609187,3.700780358741028,0.08516442970133387,0.08327554648341051,2252.9010467071384,5.421741368983476,0.4667382858248756,0.00457242736199015,0.06448532953124808,0.0028841503165883547,1.3455088375660638,0.0016758127369971287,1.2777934167750076,0.028638105105516676,0.7995104501190713,0.02248956750561215,,0,0.0031950946021818004
12,6116048,6033,9.5801,100.75399999999999,77,0.017,0.1,5.5,-0.23,1.9004,0.0088,0.0513,0.018000000000000002,4.2537,0.9389,1.1916,2126.9,L,2.1559,0.0121,0.0494,0.021,8.369842,0.73460054,0.6287072144691027,0.019324558314048335,0.018979880290047713,0.24871561511627868,0.16417910178070128,0.16398417175532667,1.3194423518544576,0.17406207904780024,0.16671644747567105,0.6512086585766171,0.030138454626435496,0.04897294257949525,17.773218955362278,1.2431158215041407,0.862474723905418,3.274770052916031,0.10065652722963092,0.09886119031457952,2129.0992056044474,5.841334849706982,0.46370817047984036,0.005455183983461898,0.06353515173745894,0.002801905225751994,1.3426764813033942,0.0022283066118504724,1.2827723718668582,0.034206089336266565,0.8154054889808895,0.02811988356816486,,0,0.004195048973038282
13,6225718,6313,2.4095,105.695,76,0.018000000000000002,0.1,4.9,-0.07,0.4312,0.0055,0.0304,0.015,4.3186,1.1593,1.2336,2364.2,L,0.527,0.0066,0.0304,0.012,7.403161,0.66492414,0.8154253677466541,0.035223187401143274,0.03344740442456051,0.8737044032181447,0.01767900407609746,0.014745904773421636,0.5080302455556538,0.031191539819498848,0.0352348695306971,1.6780960689495608,0.12195065814560535,0.11587678056024453,6.897146288721782,0.44550234244171794,0.5405095984384678,4.397040345758022,0.1899349495797651,0.18035934683034327,2365.2925624601166,5.941965969755984,0.46771198449907175,0.003934256941127867,0.07996142827382155,0.0026546775997443595,1.2258539473255445,0.0018809725403474697,1.2633852743127765,0.028169476638615354,0.8042152622087334,0.025407473059596564,,0,0.004930653124941719
14,6508366,6331,2.0582,51.553000000000004,77,0.046,0.1,4.6,-0.05,0.1437,0.0055,0.019,0.021,3.9424,1.5279,2.1873,958.3,L,0.1278,0.0066,0.0304,0.018000000000000002,8.882118,0.6480303000000001,2.3020322392018686,0.043519322478671185,0.04196185250364559,0.0628641019951944,0.043321495524894116,0.06421432713374198,1.5078907455578263,0.06451738766062975,0.0433617306220917,2.310735421063609,0.04536635463774985,0.0439575521077642,5.0088270463917794,0.09350508849850758,0.10030693341361197,22.01008025707051,0.4160948592192497,0.40120365197874364,954.9198846183757,4.257133323940707,0.44281208326218896,0.007201123853679825,0.05165067170560009,0.004283213397377084,1.0114913552080236,0.003970401145101832,1.269333520407908,0.04327038869394273,0.8755307910089782,0.052835587717343424,,0,0.005016357238557147
15,6603624,5674,7.8234,110.12799999999999,77,0.012,0.1,5.4,0.28,0.8624,0.0044,0.0209,0.009000000000000001,4.3197,1.0092,1.1497,2384.0,L,0.9422,0.0055,0.0285,0.012,9.043605,0.8940811,1.1401594594074032,0.19734088238129588,0.13928565201396914,0.9923345032573199,0.0021321942988017373,0.0018697098253509514,0.12389761987152874,0.01618138109021544,0.016200431496079706,9.494259800240636,0.37729656704275705,0.16120844506710874,1.2190601815358386,0.020353523289877273,0.050449607887794734,5.729965377756817,0.9917528766094827,0.6999915293191901,2390.853491330865,4.798357714247231,0.47083541152733394,0.004304771295414456,0.04995989594374538,0.002814143347554615,1.4985438370567552,0.001986718344061833,1.2405981318069648,0.0325730856266635,0.7466002461979511,0.03630319344388333,rhat_1,3,0.005525904372942796
16,6679371,6479,1.9464,50.601000000000006,77,0.028999999999999998,0.1,5.1,0.01,0.1597,0.0066,0.019,0.024,3.9336,1.5279,2.2143,941.8,L,0.1757,0.0077,0.0399,0.024,8.642802,0.62110233,1.9069008421806721,0.055429074828272196,0.0550889240023702,0.17846541946524314,0.11968810688736473,0.11703926501126871,1.3913697150701712,0.1205571404453969,0.1206154027147952,1.9433126261744107,0.06924381548956071,0.08694227685340161,5.955847720137507,0.2550492357015752,0.22005895595925917,18.45722652417094,0.536507702708171,0.5332153234154653,943.5386453547846,3.9354228979940444,0.4423247213238847,0.006797944258152333,0.059332469753949346,0.005355935399491085,0.8841140537568222,0.005022590582270725,1.3433478423805267,0.047130396295283594,0.9311436898708616,0.0549874789501702,,0,0.003526543711880694
17,6933899,5832,6.3381,72.135,77,0.018000000000000002,0.1,3.9,-0.01,0.6228,0.0077,0.0304,0.015,4.0865,1.1289,1.5875,1389.9,L,0.7187,0.0066,0.0285,0.018000000000000002,9.582934,0.8122387,0.35928674362264246,0.02278417525496157,0.02235594256389517,0.43793559576690666,0.2785075732834097,0.20258679368596277,1.1174952577536357,0.2418772519595105,0.29318983137765486,0.3997926627005519,0.0460310244840903,0.08175021622256073,28.95019161744465,4.9147950117439585,3.7669626120598316,2.493198169081648,0.15810620636025519,0.15513457164158373,1388.9150015462847,3.850137546910446,0.42452641420302173,0.00293856454927488,0.06906697215264165,0.0026465268930068175,1.3200906636467085,0.00193519174360679,1.2999427616218004,0.03682322230973556,0.8031507474535631,0.027592301603375335,,0,0.004736328924472107
18,7103006,6344,2.4734,59.658,77,0.028999999999999998,0.1,7.2,0.02,0.2396,0.0066,0.019,0.021,4.015,1.4177,1.9444,1167.9,L,0.2236,0.0066,0.0399,0.018000000000000002,8.758155,0.6526804,1.3765525046139302,0.09000038116872044,0.10022719580181927,0.5789776366394324,0.20325299777139677,0.11234117077771155,0.9533221003896413,0.14583844950650393,0.23229564546072612,1.7007920119942224,0.28604600537347213,0.2893998282309991,6.80510844751098,0.9895514247456543,1.3759177417179806,11.699849225153443,0.764947858037349,0.8518694893298591,1160.9156768186986,5.049772359187273,0.4520554011412,0.006312747960185328,0.07072498097215402,0.005764530255467942,0.9885704320531876,0.004425686231145365,1.3204415368142075,0.04526574385059923,0.8255856986912349,0.05621393110152617,,1,0.004910655026341767
19,7106245,6068,6.2732,111.376,102,0.063,0.19,24.0,-0.99,1.0591,0.006999999999999999,0.0379,0.012,4.3254,0.9214,1.0959,2397.9,L,1.0591,0.006999999999999999,0.0216,0.012,10.714183,0.75924873,0.25470169311663726,0.13337724983252813,0.17273790764644875,0.7188626322416996,0.5003381481544797,0.22213123426312698,0.7686315321611632,0.4233903778510781,0.581862640974101,0.32906308822065755,0.17616849086029263,0.8961028914451343,35.17281203727193,25.725863241898473,40.52692081938738,1.2201258562911868,0.6389318781919272,0.827485616220681,2397.0477476743627,8.504335244066624,0.4675443740660782,0.0027326273534251655,0.061528556975117256,0.00311298957638418,1.393384797581139,0.0019619372001566937,1.2131122743171345,0.05353902500302188,0.7757895095171389,0.04590896664903854,,1,0.0021556957776355016
