,KIC,m,m_e,c,c_e,rho,rho_e,L,L_e,e_m,e_c,e_rho,e_L
0,1435467,0.360194924487623,,1.424143332175396,,0.09733360953392782,,0.27899205350578726,,0.2193547763247125,0.14625651165387527,0.08898598979497022,0.1302625268988444
1,2837475,0.7867829299684704,,1.3954308410947838,,0.0653348287611017,,0.32219736342824346,,0.2300591504876598,0.15446371094875272,0.08511865387328568,0.09583586335583562
2,3427720,1.4770186282545736,,-0.19952107199238395,,0.15897160723634982,,0.22046442386651965,,0.38708586627648844,0.24210854812808877,0.10069749430611752,0.12313115502206128
3,3456181,0.8848692243077575,,0.8449121693740727,,0.0985669545936191,,0.3029803038449632,,0.2666694717893037,0.17499427421709388,0.09418474599395611,0.10116766076914195
4,3632418,1.7885109244672366,,0.2538596091852568,,0.19395697037047266,,0.1806795888745913,,0.3630305368079864,0.2304114661690596,0.06771423441859989,0.05512825380196967
5,3656476,1.629790856743356,,-0.5203093943000472,,0.27675512239639855,,0.202896695542381,,0.5518441555814128,0.3834860367950478,0.2473299329790803,0.047298531533852495
6,3735871,1.09379094967807,,0.3030790271767193,,0.1258231014026669,,0.29415262879712856,,0.4261172345089913,0.2432763225233409,0.10228945238146557,0.09347694191805175
7,4914923,1.708243899348181,,-0.28626451757000515,,0.2701771536312292,,0.19602207698697394,,0.5379294735278594,0.35154272123382596,0.23951403688466988,0.042738669016625395
8,5184732,1.8077437886741718,,-0.08569908863410486,,0.2524074415526708,,0.2207185399627567,,0.42921226196338036,0.28562506029362034,0.22768009657640462,0.04287915573005165
9,5773345,0.6428848499971282,,0.7958005699774161,,0.11747387401976164,,0.265576076178747,,0.2822737958574296,0.17739548466141347,0.09685913285337386,0.10788865476764753
10,5950854,0.6770874852863111,,-0.3379128097556987,,0.0951761187741306,,0.3019709552257849,,0.6792018128853304,0.4221710536792922,0.09722697349151503,0.10098265670600311
11,6106415,2.1237433305234754,,-0.16697096758434066,,0.22690450657241962,,0.13732238125387197,,0.3808107880261412,0.24896277833692343,0.2089100523630759,0.04053229895374391
12,6116048,2.100048798969034,,-0.1125566416054754,,0.21925625292857487,,0.1418870343340301,,0.3977918469408451,0.2564217558897444,0.20025174156913053,0.0750117433253183
13,6225718,1.7802107065748316,,0.43370246764812526,,-0.16319527214326257,,0.13400322079648147,,0.3713298246715042,0.239305855993106,0.18665296875641624,0.030859949894238646
14,6508366,1.6766825701924595,,0.8402354301149874,,0.2087537143131058,,0.2050545592316305,,0.4082133229389147,0.2555920408676648,0.06417823469853567,0.07342042273547356
15,6603624,2.374077142413647,,-0.931190698417447,,0.3220949581698124,,0.20644131153551668,,0.5683663509598784,0.35034022872173054,0.05968748145393358,0.04929288581713879
16,6679371,0.3620069832358798,,1.32465895521476,,0.17726611665386593,,0.23638729355645316,,0.373298608592245,0.23367291090654935,0.07378635808936725,0.07237161663944204
17,6933899,1.7779992320454556,,-0.241335499247295,,0.0046141778439921025,,0.19749370465975422,,0.4190591253806586,0.2464097613645259,0.23326509384656305,0.05415533402960813
18,7103006,0.9171879436376235,,1.1724719404769626,,0.17821810369806457,,0.014463907672400389,,0.2368744051770663,0.13899475083282015,0.04456861183955955,0.01918076470871956
19,7106245,0.8231866138779714,,-0.08746834948720549,,0.09773429716447882,,0.3056937937888801,,0.4290370766954857,0.2527066595424832,0.09785743651748159,0.09623243305289904
