,KIC,Teff,eTeff,age,loage,upage,modmass,lomodmass,upmodmass,P,l_P,u_P,rhat_flag,eye_flag,source,hrclass,comment
41,9139163,6400,84,1.5951,0.2236,0.2236,1.3987,0.0209,0.0304,3.99296100685447,0.295393861597059,0.340728260474738,rhat_01,0,L,SG,
42,9206432,6538,77,1.5312,0.3034,0.2076,1.3778,0.019,0.0418,4.11938386535754,0.518026003299532,1.0453263497258,,0,L,H,
43,9353712,6278,77,2.154,0.1278,0.1118,1.5089,0.0209,0.0285,9.53236432089998,3.87249835418216,7.2709264349182,,0,L,SG,
44,9410862,6047,77,6.929,1.3255,1.4852,0.9693,0.0399,0.0494,20.5778268322069,8.1492909528417,9.83955594841783,,0,L,MS,
45,9414417,6253,75,2.6491,0.1757,0.1597,1.3987,0.0304,0.019,9.01923627481572,0.909038058635002,1.08186865551819,,0,L,SG,
46,9812850,6321,77,2.713,0.3513,0.4631,1.3683,0.0494,0.0399,7.35957158829589,0.463444700984899,0.44775446769115,,0,L,SG,
47,9955598,5457,77,6.2902,1.8365,1.9483,0.899,0.0304,0.0399,31.4140839375283,6.3646999057978,9.08369516042003,,0,L,MS,
48,9965715,5860,180,2.9206,0.7506,0.8624,1.2087,0.0494,0.0399,5.6246695678934,0.250115489472472,0.284941571484634,,0,L,MS,
49,10068307,6132,77,2.3616,0.0958,0.0798,1.469,0.0209,0.0095,10.8691317329612,1.12712985686992,1.51284210974993,,0,L,SG,
50,10079226,5949,77,3.0643,0.6548,0.7027,1.1194,0.0304,0.019,16.7892378522296,2.98303823549709,2.24796615224099,,2,L,MS,+ACI-low quality data  little dodge+ACI-S63
51,10162436,6146,77,2.4574,0.1118,0.0958,1.4481,0.0095,0.0209,5.8818838099613,0.390902986382102,0.574150310998657,,0,L,SG,
52,10454113,6177,77,2.8886,0.527,0.559,1.1688,0.0304,0.0209,10.0038422141186,2.53953718181038,4.83022050685431,,0,L,MS,
53,10516096,5964,77,7.0089,1.4533,1.3255,1.0586,0.0608,0.0494,22.6245786551259,3.09261048268037,1.94093130820984,,0,L,SG,
54,10644253,6045,77,2.3936,0.9582,1.1179,1.0985,0.0399,0.0399,38.0052881394521,19.1239153369428,21.0862333223781,,0,L,MS,
55,10730618,6150,180,3.0483,0.2875,0.4631,1.3379,0.0494,0.0399,16.0868229728613,7.23235456430357,13.9193604246821,,0,L,SG,
56,10963065,6140,77,7.1526,1.613,1.9164,0.9883,0.0608,0.0608,11.5055853394364,0.962340447076898,1.32478765733413,,0,L,MS,
57,11081729,6548,82,1.8825,0.4152,0.5909,1.298,0.0494,0.0399,3.41378589691479,0.100527074485151,0.108467109131059,,0,L,H,
58,11253226,6642,77,1.5951,0.1278,0.0639,1.4082,0.0095,0.0209,3.42807916945861,0.293906178705333,0.420729369662372,,0,L,SG,
59,11772920,5180,180,10.666,2.9704,2.7309,0.8287,0.0399,0.0399,35.1074186418445,4.70657191516833,5.28266996745612,,0,L,MS,
60,12009504,6179,77,3.9746,0.4312,0.5749,1.1688,0.0399,0.019,9.44277850172235,0.520411381745552,0.543531425889355,,0,L,MS,
61,12069127,6276,77,2.0103,0.1278,0.1118,1.5678,0.019,0.0304,5.24279779436695,3.87227455089029,39.9471514428427,rhat_01,1,L,SG,+ACI-funky sampling in cosi  median looks good+ACI-
62,12069424,5825,50,6.6735,0.7666,0.8145,1.0491,0.0209,0.019,,,,empty,,L,MS,
63,12069449,5750,50,7.3922,0.9103,0.8943,0.9883,0.019,0.0209,,,,empty,,L,MS,
64,12258514,5964,77,4.0544,0.1597,0.1757,1.2581,0.0095,0.0095,16.7459020117959,3.63345161209411,10.0232420739519,,1,L,SG,+ACI-bimodal split  unimodal period
65,12317678,6580,77,2.4574,0.1757,0.2236,1.3379,0.0095,0.0399,5.19568756333029,0.924644336153035,1.79544228770248,,0,L,SG,
66,3425851,6343,85,3.32,0.64,0.85,1.178,0.049,0.049,8.08274904403979,2.70967235891706,8.63754204656919,,2,K,H,+ACI-low quality data  little dodge+ACI-S76
67,3544595,5669,75,6.63,0.57,0.62,0.899,0.009,0.009,26.0627360775757,4.70906378305633,3.87399424030691,,0,K,MS,
68,4141376,6134,91,3.27,0.64,0.59,1.019,0.03,0.021,13.3894811167425,3.04309586862881,3.4304470663025,,0,K,MS,
69,4143755,5622,106,11.27,1.35,1.5,0.918,0.03,0.021,48.0996728682896,32.7309126458177,27.4122337774145,,0,K,SG,
70,4349452,6270,79,3.45,0.72,0.81,1.159,0.051,0.04,7.50941732467286,0.574869776593937,0.539075996717708,,0,K,H,
71,4914423,5845,88,6.67,0.62,0.69,1.099,0.03,0.019,23.0730692211413,9.63523338094377,11.7445207816158,,0,K,SG,
72,5094751,5952,75,6.35,1.05,1.05,1.068,0.04,0.04,22.8634027226402,15.797263010879,19.2701308984639,,0,K,MS,
73,5866724,6169,50,3.89,0.48,0.59,1.199,0.03,0.029,8.44320091275549,0.501147027678773,0.547670281036675,,0,K,MS,
74,6196457,5871,94,5.52,0.48,0.51,1.209,0.03,0.019,20.692242583579,13.7447581700025,19.2346856743071,,2,K,SG,+ACI-low quality data  little dodge+ACI-
