,KIC,n,l,Freq,e_Freq,E_Freq,Amp,e_Amp,E_Amp,Width,e_Width,E_Width,l_lnK,lnK,source,f,f_e,g,g_e,A,A_e,H,H_e,flag
10,1435467,14,2,1131.4,1.32,0.99,,,,,,,>,6.0,L,1130.169797185571,0.509435581796895,2.9020210245797444,0.30491662741732767,2.677741828129876,0.1597711764871756,1.5720674769536076,0.24131757918769645,
11,1435467,15,0,1136.15,0.34,0.39,3.41,0.14,0.17,5.05,0.7,1.15,>,6.0,L,1136.2071714318577,0.20856471373296306,2.90852623937988,0.2852027503313055,2.906218650759054,0.15553883302871527,1.8503273931016981,0.23220299559037821,
12,1435467,15,1,1167.86,0.25,0.26,,,,,,,>,6.0,L,1167.7854930356548,0.1730189898043802,3.0491964244150926,0.28456536807938,4.093520315795677,0.12362487762849554,3.4963708500745074,0.3460922169061881,
13,1435467,15,2,1199.64,0.54,0.61,,,,,,,>,6.0,L,1200.527683964823,0.6421072266408927,3.165366100393482,0.3081197327503968,3.126960459598076,0.1610451063226482,1.9678448912348974,0.26489389448532963,
14,1435467,16,0,1206.55,0.21,0.24,3.61,0.14,0.16,3.91,0.6,0.61,>,6.0,L,1206.6355381008955,0.20923605312683774,3.079821005242928,0.2787161633116698,3.1129529687306974,0.1711886627176823,2.005638763020447,0.2533518019248643,
15,1435467,16,1,1237.49,0.23,0.23,,,,,,,>,6.0,L,1237.5992786359388,0.1813513968140178,3.5186264686711173,0.3029379002344076,4.643791372945529,0.12123280458866277,3.8974425000076756,0.348124678955811,
16,1435467,16,2,1269.06,0.59,0.64,,,,,,,>,6.0,L,1270.6444356343454,0.4668972861523064,3.4041192849196564,0.32224919377465544,3.77448453943206,0.185142361294892,2.6685245324550566,0.34778712039250154,
17,1435467,17,0,1275.25,0.29,0.31,4.54,0.15,0.15,5.88,0.62,0.52,>,6.0,L,1276.107269375976,0.24741895758505397,3.4810990589947206,0.299314864644077,3.583674277061066,0.194461326091664,2.346657619379705,0.27959785629112643,
18,1435467,17,1,1307.14,0.22,0.19,,,,,,,>,6.0,L,1307.032070557849,0.1683864148431101,3.8942847428088885,0.29916019654016873,5.286983955724315,0.11992194317740128,4.57989264475721,0.37276282348061457,
19,1435467,17,2,1339.8,0.7,0.62,,,,,,,>,6.0,L,1341.0170953695074,0.7307366797346684,3.8476110030179247,0.3704931534630459,3.9163027486444397,0.20595329605477067,2.539195938849669,0.37410878493421473,
20,1435467,18,0,1343.82,0.35,0.31,4.55,0.13,0.17,5.32,0.53,0.45,>,6.0,L,1344.049076805567,0.6999317416274635,4.096558869247205,0.3521630115268759,3.6093757511734594,0.23260980616620297,2.0186492988764404,0.2621711508086912,
21,1435467,18,1,1376.38,0.17,0.18,,,,,,,>,6.0,L,1376.61042147663,0.14446741704011354,3.5510957868421897,0.25629792656765776,5.552041445711508,0.11837944139215184,5.523975931986035,0.4383228658821559,
22,1435467,18,2,1408.44,0.44,0.48,,,,,,,>,6.0,L,1409.0845181528805,0.3983461814519785,3.59137666419832,0.3359130734835848,3.6556506389452115,0.17245732033642658,2.3738038269523463,0.3055966954626958,
23,1435467,19,0,1414.66,0.18,0.19,4.2,0.12,0.19,3.59,0.36,0.48,>,6.0,L,1414.6626796888547,0.20450551678346238,3.614767576802075,0.29157144972210797,3.8625660773462442,0.17453778028399253,2.6290904443876975,0.2796374927776656,
24,1435467,19,1,1446.97,0.2,0.19,,,,,,,>,6.0,L,1446.768926435412,0.17162256964487763,3.9779481132351027,0.27871450773288947,5.228928407612249,0.11736768894962049,4.3702381716842345,0.33767610055364145,
25,1435467,19,2,1479.76,0.56,0.58,,,,,,,>,6.0,L,1480.444210237736,0.7656269290887279,4.012595025667771,0.37620083187057063,3.7770461734622405,0.19565620476055579,2.267148385122766,0.3126637835333579,
26,1435467,20,0,1485.18,0.31,0.28,4.47,0.16,0.16,5.42,0.49,0.41,>,6.0,L,1485.1170994138638,0.4550749589070666,4.15438627956399,0.37917009379028155,3.6213664878985234,0.21542728488848178,2.009490292501849,0.27299416018723116,
27,1435467,20,1,1518.64,0.21,0.21,,,,,,,>,6.0,L,1518.4881776244495,0.18018613960719165,4.204637831849386,0.3172580750133382,4.913725855452535,0.11460722894701462,3.656197551757757,0.29884754033655386,
