,KIC,nyq,enyq
0,1435467,8498.498699140706,83.63020105254127
1,2837475,8492.385725174958,86.0503423895628
2,3427720,8499.189770859399,83.90305944200958
3,3456181,8492.591604367091,85.17974891597622
4,3632418,8509.451682083973,82.66649807758994
5,3656476,8497.4016035973,83.55593340604162
6,3735871,8502.337582311127,87.63620031700704
7,4914923,8506.439634756447,86.49700030142739
8,5184732,8522.921131279792,85.95992801640008
9,5773345,8493.119772602982,84.95531022761126
10,5950854,8496.300362500606,84.82957942656111
11,6106415,8561.331313329618,85.29273862999646
12,6116048,8513.61141491471,85.76190562317841
13,6225718,8534.255735170826,86.08875192204759
14,6508366,8485.987160333694,88.52479271980445
15,6603624,8521.226085024084,83.20964550919393
16,6679371,8495.533271616107,88.12504072956504
17,6933899,8501.084066209507,83.56938853004687
18,7103006,8483.568879179744,83.24658434466168
19,7106245,8495.62980953417,84.94747707141941
20,7206837,8501.455365636024,84.26240727983267
21,7296438,8500.891636142867,82.86178327940513
22,7510397,8481.056339986952,84.50661281112255
23,7680114,8496.619810268905,84.89064101759975
24,7771282,8497.093873680144,85.43048636698965
25,7871531,8501.20126592858,85.84120546089389
26,7940546,8504.944257446235,83.21291629786039
27,7970740,8506.165050455002,83.83180759192842
28,8006161,8554.773578617238,85.76525319064193
29,8150065,8497.189363634068,85.70753697019704
30,8179536,8493.651503504308,84.97451438368205
31,8228742,8506.585751639534,84.36729165638685
32,8379927,8554.840518488543,83.95251144953905
33,8394589,8504.745871138684,85.45061266051749
34,8424992,8496.985440154884,84.09121345913952
35,8694723,8506.935616992918,87.00334573925468
36,8760414,8503.561124954109,84.46463586740694
37,8938364,8495.410005259891,85.6614048742247
38,9025370,8500.452343693021,85.14696171920416
39,9098294,8502.964890587302,86.76168518824643
40,9139151,8509.244687970053,84.9521945442985
41,9139163,8494.558666700294,86.85267000554245
42,9206432,8503.86980573876,85.86313133300453
43,9353712,8492.920362893947,86.82557557773225
44,9410862,8499.857558658892,85.57910614790435
45,9414417,8502.753701687561,85.0622024853116
46,9812850,8498.018404924394,85.38087546162203
47,9955598,8504.799795969455,83.5994688754396
48,9965715,8500.744916100786,83.95362045451384
49,10068307,8497.619191271333,86.09620342362194
50,10079226,8496.713110235121,84.49695563325592
51,10162436,8503.471038264037,84.0003038867495
52,10454113,8509.178956692253,84.62520114264437
53,10516096,8505.611430708412,84.18095968760588
54,10644253,8503.42959134707,83.78851176053394
55,10730618,8497.110288086707,83.32099628524648
56,10963065,8504.704808789127,82.88788242607963
57,11081729,8490.103142405038,87.59994454024648
58,11253226,8489.327579908582,82.9271189373169
59,11772920,8503.858581382596,83.28277988951217
60,12009504,8505.642398049455,82.54376358309183
61,12069127,8502.531959615326,84.77396332812644
62,12069424,8505.710435162764,85.21667260280888
63,12069449,8554.398950415001,86.91240541470708
64,12258514,8488.834690345375,86.53521111392305
65,12317678,8485.451749331325,86.04475433691734
66,3425851,8498.654051453152,86.71165701135469
67,3544595,8497.740793522087,85.17119001593107
68,4141376,8496.331356520592,83.35036671764749
69,4143755,8507.8599147274,84.61981469045925
70,4349452,8499.120971155231,83.35020291988381
71,4914423,8500.577548695028,85.39017284956815
72,5094751,8508.658002304555,86.14158103509517
73,5866724,8499.270494094286,85.25408384361066
74,6196457,8495.676802115378,83.5598981421937
75,6278762,8493.480690780594,84.37085487037669
76,6521045,8498.522931689862,84.80231436202405
77,7670943,8497.356185793422,85.65644880736232
78,8077137,8496.319263626916,84.07749144012054
79,8292840,8498.290472700448,86.12983540182988
80,8349582,8497.719838060959,82.56768930613553
81,8478994,8497.032088183092,85.16607560557763
82,8494142,8500.983160618624,82.46414160567193
83,8554498,8497.91542873414,82.01852191228357
84,8866102,8501.921175965366,87.99460614953705
85,9592705,8496.601728744448,85.04036063238667
86,10514430,8499.202865712348,84.24715423413397
87,10586004,8501.002075344779,83.78021309873527
88,10666592,8499.50271848553,84.71312585009431
89,11133306,8501.095354305537,83.60161835159569
90,11295426,8499.58268238393,84.88065265879887
91,11401755,8505.447357162178,84.1543122940619
92,11807274,8496.280857670605,86.58164889598832
93,11853905,8546.73779187009,85.62132701789714
94,11904151,,
