,KIC,Teff,age,dnu,eTeff,ednu,efeh,enumax,evsini,feh,loage,lomodlogg,lomodmass,lomodrad,modlogg,modmass,modrad,numax,source,upage,upmodlogg,upmodmass,upmodrad,vsini,G,bprp
27,7970740,5309,12.9817,173.541,77,0.06,0.1,21.2,0.5,-0.54,1.9963,0.0044,0.0095,0.006,4.5386,0.728,0.7628,4197.4,L,1.3575,0.0055,0.0304,0.006,0.0,7.749384,0.9476743
28,8006161,5488,3.5913,149.427,77,0.015,0.1,11.4,0.5,0.34,1.4533,0.0066,0.0304,0.009,4.4935,0.9788,0.9247,3574.7,L,1.5331,0.0066,0.0304,0.012,0.7,7.3129287,0.98118925
29,8150065,6173,3.8309,89.264,101,0.134,0.15,38.1,,-0.13,0.6707,0.0077,0.0494,0.021,4.2196,1.1878,1.3986,1876.9,L,0.9901,0.0077,0.0399,0.018,,10.689889,0.706583
30,8179536,6343,3.5434,95.09,77,0.058,0.1,13.8,0.5,-0.03,0.8145,0.0099,0.0608,0.018,4.2548,1.1593,1.3266,2074.9,L,1.038,0.0099,0.0494,0.021,9.9,9.390101,0.6612797
31,8228742,6122,2.8886,62.071,77,0.022,0.1,3.4,0.5,-0.08,0.1757,0.0066,0.019,0.021,4.0348,1.3778,1.8694,1190.5,L,0.1597,0.0055,0.0209,0.021,6.1,9.336569,0.7277889
32,8379927,6067,1.9943,120.288,120,0.017,0.15,6.0,,-0.1,0.7506,0.0077,0.0399,0.015,4.3879,1.1194,1.1197,2795.3,L,0.8464,0.0066,0.0399,0.015,,6.9261136,0.752151
33,8394589,6143,4.4537,109.488,77,0.034,0.1,10.5,0.5,-0.29,0.8304,0.0077,0.0285,0.015,4.3219,1.0377,1.1646,2396.7,L,0.9422,0.0077,0.0418,0.015,6.4,9.487704,0.7004528
34,8424992,5719,9.612,120.584,77,0.062,0.1,27.0,0.5,-0.12,1.7407,0.0066,0.0399,0.015,4.3593,0.918,1.0477,2533.7,L,1.9164,0.0066,0.0399,0.012,1.3,10.269356,0.840024
35,8694723,6246,4.6932,75.112,77,0.019,0.1,3.7,0.5,-0.42,0.511,0.0066,0.0209,0.012,4.1129,1.1384,1.5485,1470.5,L,0.4791,0.0088,0.0209,0.015,7.1,8.807503,0.65730476
36,8760414,5873,11.6642,117.23,77,0.022,0.1,9.1,0.5,-0.92,1.6059,0.0063,0.0186,0.0121,4.3293,0.8115,1.0196,2455.3,L,1.2847,0.0047,0.031,0.0097,2.5,,
37,8938364,5677,10.2508,85.684,77,0.018,0.1,5.2,0.5,-0.13,0.6548,0.0066,0.0095,0.006,4.1734,0.9883,1.3446,1675.1,L,0.559,0.0022,0.0095,0.018,2.4,10.05581,0.8286247
38,9025370,5270,6.5458,132.628,180,0.03,0.18,20.0,,-0.12,1.1339,0.0066,0.0304,0.012,4.4231,0.9693,1.0027,2988.6,L,1.2616,0.0044,0.0304,0.009,,8.772598,0.85172653
39,9098294,5852,8.0789,108.894,77,0.023,0.1,9.2,0.5,-0.18,0.7346,0.0055,0.0304,0.009,4.3076,0.9693,1.1377,2314.7,L,0.9901,0.0066,0.019,0.015,3.0,9.706002,0.7861614
40,9139151,6302,1.3236,117.294,77,0.031,0.1,14.5,0.5,0.1,0.7506,0.0077,0.0494,0.015,4.3824,1.1783,1.1526,2690.4,L,0.9422,0.0077,0.0399,0.015,5.5,9.145875,0.730463
41,9139163,6400,1.5951,81.17,84,0.042,0.09,6.2,,0.15,0.2236,0.0088,0.0209,0.015,4.1998,1.3987,1.5575,1729.8,L,0.2236,0.0077,0.0304,0.012,,8.25681,0.62723446
42,9206432,6538,1.5312,84.926,77,0.046,0.1,10.3,0.5,0.16,0.3034,0.0055,0.019,0.012,4.2196,1.3778,1.5095,1866.4,L,0.2076,0.0066,0.0418,0.015,6.7,8.988301,0.5929928
43,9353712,6278,2.154,51.467,77,0.091,0.1,11.1,0.5,-0.05,0.1278,0.0066,0.0209,0.021,3.9435,1.5089,2.1723,934.3,L,0.1118,0.0055,0.0285,0.024,6.8,10.757383,0.6871824
44,9410862,6047,6.929,107.39,77,0.05,0.1,31.2,0.5,-0.31,1.3255,0.0088,0.0399,0.018,4.2999,0.9693,1.1557,2278.8,L,1.4852,0.0077,0.0494,0.018,3.8,10.627761,0.7192421
45,9414417,6253,2.6491,60.115,75,0.024,0.1,6.1,,-0.13,0.1757,0.0055,0.0304,0.018,4.0161,1.3987,1.9174,1155.3,L,0.1597,0.0055,0.019,0.021,,9.516585,0.66290855
46,9812850,6321,2.713,64.746,77,0.067,0.1,9.1,0.5,-0.07,0.3513,0.0077,0.0494,0.024,4.0535,1.3683,1.8214,1255.2,L,0.4631,0.0088,0.0399,0.015,12.5,9.374328,0.64471245
47,9955598,5457,6.2902,153.283,77,0.029,0.1,21.2,0.5,0.05,1.8365,0.0066,0.0304,0.012,4.4968,0.899,0.8857,3616.8,L,1.9483,0.0055,0.0399,0.012,1.1,9.391091,0.95841694
