,KIC,Teff,age,dnu,eTeff,ednu,efeh,enumax,feh,loage,lomodlogg,lomodmass,lomodrad,modlogg,modmass,modrad,numax,source,upage,upmodlogg,upmodmass,upmodrad,G,bprp,nus*,l_nus*,u_nus*,cosi,l_cosi,u_cosi,i,l_i,u_i,nus,l_nus,u_nus,P,l_P,u_P,vsini,l_vsini,u_vsini,fit_numax,efit_numax,fit_d01,efit_d01,fit_d02,efit_d02,fit_epsilon,efit_epsilon,V1,eV1,V2,eV2,flag,chainflag,flagch,ebprp
13,6225718,6313,2.4095,105.695,76,0.018000000000000002,0.1,4.9,-0.07,0.4312,0.0055,0.0304,0.015,4.3186,1.1593,1.2336,2364.2,L,0.527,0.0066,0.0304,0.012,7.403161,0.66492414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,,-1.0,0.004930653124941719
14,6508366,6331,2.0582,51.553000000000004,77,0.046,0.1,4.6,-0.05,0.1437,0.0055,0.019,0.021,3.9424,1.5279,2.1873,958.3,L,0.1278,0.0066,0.0304,0.018000000000000002,8.882118,0.6480303000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,,-1.0,0.005016357238557147
15,6603624,5674,7.8234,110.12799999999999,77,0.012,0.1,5.4,0.28,0.8624,0.0044,0.0209,0.009000000000000001,4.3197,1.0092,1.1497,2384.0,L,0.9422,0.0055,0.0285,0.012,9.043605,0.8940811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,,-1.0,0.005525904372942796
16,6679371,6479,1.9464,50.601000000000006,77,0.028999999999999998,0.1,5.1,0.01,0.1597,0.0066,0.019,0.024,3.9336,1.5279,2.2143,941.8,L,0.1757,0.0077,0.0399,0.024,8.642802,0.62110233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,,-1.0,0.003526543711880694
17,6933899,5832,6.3381,72.135,77,0.018000000000000002,0.1,3.9,-0.01,0.6228,0.0077,0.0304,0.015,4.0865,1.1289,1.5875,1389.9,L,0.7187,0.0066,0.0285,0.018000000000000002,9.582934,0.8122387,0.36011540245254686,0.023033270790578708,0.02196758318674047,0.43299926942913425,0.2666067306446148,0.2048172180168346,1.1229788258476527,0.24384238798797153,0.2806474309226721,0.4004034139791789,0.04543477333252416,0.08042457143356019,28.906032526569167,4.8349001742901585,3.6998733437501805,2.4989484805367264,0.1598347547811212,0.15243962977341052,1388.9829760508323,3.76956916331892,0.42454735307866975,0.002790734055727717,0.06905616464682243,0.0025959904143405543,1.3200833668290601,0.001929765534699257,1.29984955150347,0.037054936504907765,0.8027423652683175,0.028334648340088475,,0.0,,0.004736328924472107
18,7103006,6344,2.4734,59.658,77,0.028999999999999998,0.1,7.2,0.02,0.2396,0.0066,0.019,0.021,4.015,1.4177,1.9444,1167.9,L,0.2236,0.0066,0.0399,0.018000000000000002,8.758155,0.6526804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,,-1.0,0.004910655026341767
19,7106245,6068,6.2732,111.376,102,0.063,0.19,24.0,-0.99,1.0591,0.006999999999999999,0.0379,0.012,4.3254,0.9214,1.0959,2397.9,L,1.0591,0.006999999999999999,0.0216,0.012,10.714183,0.75924873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,,-1.0,0.0021556957776355016
20,7206837,6305,2.9046,79.131,77,0.037000000000000005,0.1,10.6,0.1,0.3034,0.0077,0.0304,0.018000000000000002,4.1635,1.298,1.5635,1652.5,L,0.4152,0.0066,0.0304,0.015,9.701858999999999,0.6637449000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,,-1.0,0.0031518170579134964
21,7296438,5775,7.2325,88.698,77,0.04,0.1,8.5,0.19,1.7727,0.0088,0.0494,0.018000000000000002,4.2009,1.0776,1.3626,1847.8,L,1.4852,0.0099,0.0608,0.024,10.045428,0.839303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,,-1.0,0.003181451541341986
22,7510397,6171,2.8247,62.248999999999995,77,0.02,0.1,3.4,-0.21,0.1597,0.0066,0.0209,0.018000000000000002,4.0359,1.3683,1.8574,1189.1,L,0.1437,0.0044,0.0209,0.018000000000000002,7.732988000000001,0.6897621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,,-1.0,0.005355226643465329
23,7680114,5811,7.6796,85.145,77,0.039,0.1,7.1,0.05,1.2776,0.0077,0.0494,0.021,4.1723,1.0586,1.3926,1709.1,L,1.4533,0.0099,0.0399,0.021,10.02261,0.80933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,,-1.0,0.003312309060602198
24,7771282,6248,3.24,72.46300000000001,77,0.069,0.1,27.0,-0.02,0.3194,0.0066,0.0304,0.018000000000000002,4.1118,1.2885,1.6535,1465.1,L,0.3513,0.0066,0.0304,0.015,10.712941,0.7155037,1.008013909158318,0.18012121613493326,0.13992930451261243,0.35065557549295967,0.24754493809627554,0.26992469127321117,1.2125252894197158,0.31121145435533704,0.2549768113564326,1.1088892278228242,0.20052982510399298,0.21406952866788798,10.437538569916272,1.6889105236631519,2.3041956534569206,7.285721997280097,1.3018799588458991,1.011380897316096,1458.2067241109198,7.440251084314923,0.4467935362446248,0.007547062194750209,0.06853792732136527,0.004893625152853243,1.116690241009072,0.006102841135071202,1.248353010934006,0.05376842927227621,0.8385668827761783,0.07299464194300387,,0.0,,0.002508740643872122
25,7871531,5501,9.9633,151.329,77,0.025,0.1,19.3,-0.26,1.7727,0.0066,0.0209,0.012,4.4781,0.8287,0.8707,3455.9,L,1.9324,0.0055,0.0304,0.009000000000000001,9.206714999999999,0.95205975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,,-1.0,0.003759669691465638
26,7940546,6235,2.3297,58.762,77,0.028999999999999998,0.1,3.3,-0.2,0.0798,0.0033,0.0114,0.009000000000000001,4.0073,1.3987,1.9414,1116.6,L,0.0798,0.0011,0.0304,0.027000000000000003,7.301532300000001,0.6680560000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,,-1.0,0.0055127471650994325
27,7970740,5309,12.9817,173.541,77,0.06,0.1,21.2,-0.54,1.9963,0.0044,0.0095,0.006,4.5386,0.728,0.7628,4197.4,L,1.3575,0.0055,0.0304,0.006,7.749384,0.9476743000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,,-1.0,0.00488764743818255
28,8006161,5488,3.5913,149.42700000000002,77,0.015,0.1,11.4,0.34,1.4533,0.0066,0.0304,0.009000000000000001,4.4935,0.9788,0.9247,3574.7,L,1.5331,0.0066,0.0304,0.012,7.3129287,0.98118925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,,-1.0,0.007172991226640867
29,8150065,6173,3.8309,89.264,101,0.134,0.15,38.1,-0.13,0.6707,0.0077,0.0494,0.021,4.2196,1.1878,1.3986,1876.9,L,0.9901,0.0077,0.0399,0.018000000000000002,10.689888999999999,0.706583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,,-1.0,0.0025787910509331075
