,KIC,Teff,age,dnu,eTeff,ednu,efeh,enumax,feh,loage,lomodlogg,lomodmass,lomodrad,modlogg,modmass,modrad,numax,source,upage,upmodlogg,upmodmass,upmodrad,G,bprp,nus*,l_nus*,u_nus*,cosi,l_cosi,u_cosi,i,l_i,u_i,nus,l_nus,u_nus,P,l_P,u_P,vsini,l_vsini,u_vsini,fit_numax,efit_numax,fit_d01,efit_d01,fit_d02,efit_d02,fit_epsilon,efit_epsilon,V1,eV1,V2,eV2,flag,chainflag,flagch,ebprp
66,3425851,6343,3.32,92.6,85,1.5,0.1,60.0,-0.04,0.64,0.008,0.049,0.018000000000000002,4.243,1.178,1.36,2038.0,K,0.85,0.008,0.049,0.015,10.550611,0.6510104999999999,1.1743649242427407,0.617950677118322,0.478840731338523,0.48646390903109693,0.3291583306025255,0.2999543423640483,1.0627584074335719,0.3969509076686748,0.35007625302243595,1.431947786964204,0.7397305157606883,0.7221391110291058,8.082749044039787,2.7096723589170626,8.637542046569191,6.981421376026994,3.6736230600093007,2.846635529100805,2036.052062670172,9.879092252133205,0.460334101695951,0.008036137858852821,0.07710276903197057,0.00742267472012427,1.1635191038788326,0.004067709865381186,1.1322424811387868,0.0795565565952816,0.7325921399215412,0.0744085301620303,,0.0,,0.007102925808069633
67,3544595,5669,6.63,145.77,75,0.45,0.1,81.0,-0.18,0.57,0.003,0.009000000000000001,0.006,4.468,0.899,0.9159999999999999,3366.0,K,0.62,0.003,0.009000000000000001,0.006,9.862494,0.8673791999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,,-1.0,0.0029090185716170833
68,4141376,6134,3.27,128.8,91,1.3,0.1,97.0,-0.24,0.64,0.004,0.03,0.009000000000000001,4.412,1.0190000000000001,1.0390000000000001,2928.0,K,0.59,0.003,0.021,0.009000000000000001,11.014056,0.7210664999999999,0.7596140930971207,0.1338770820282481,0.13160019996019945,0.43899609753371127,0.29040838638291744,0.2402156245829069,1.1163152518409238,0.2922069938277848,0.30534109825061573,0.8644154426412124,0.1762987062941973,0.25424327734876206,13.389481116742473,3.0430958686288143,3.430447066302502,3.4499311888087147,0.6080281092111113,0.5976872183150865,2928.041190526217,9.923388827181952,0.47120031143066576,0.0027489047045339277,0.07761930730593969,0.004644398288895443,1.3211447648147376,0.001840682926170789,1.1421938523523951,0.06618511731342225,0.6944962438630535,0.05703911419082919,,0.0,,0.0030998843534862665
69,4143755,5622,11.27,77.2,106,1.3,0.11,57.0,-0.4,1.35,0.002,0.03,0.013000000000000001,4.102,0.9179999999999999,1.4140000000000001,1458.0,K,1.5,0.001,0.021,0.012,11.92217,0.84471416,0.17923148866307032,0.04705163926041914,0.0847041889577076,0.6974403069783128,0.4624693853126932,0.2509410773710896,0.7989768436404221,0.47627293930815723,0.5346308310634516,0.24062696405851255,0.08735214090575472,0.5124642092939917,48.09967286828961,32.730912645817675,27.412233777414535,1.1078107959206467,0.29082118509009547,0.5235475958326139,1446.356278019025,9.380826603953437,0.41488332079974677,0.0038221504617082513,0.08333214701300226,0.004917645086688224,0.48783577612363227,0.0032696599525219305,1.1715177232189153,0.07623665594366402,0.7455822101502726,0.05971370318569502,rhat_01,0.0,,0.003021238883478136
70,4349452,6270,3.45,98.27,79,0.57,0.1,50.0,-0.04,0.72,0.008,0.051,0.015,4.275,1.159,1.297,2106.0,K,0.81,0.006999999999999999,0.04,0.015,10.63185,0.6769724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,,-1.0,0.003586119977325667
71,4914423,5845,6.67,81.5,88,1.6,0.11,56.0,0.07,0.62,0.004,0.03,0.009000000000000001,4.155,1.099,1.45,1663.0,K,0.69,0.004,0.019,0.009000000000000001,12.246649,0.8062382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,,-1.0,0.003417730523671037
72,5094751,5952,6.35,91.1,75,2.3,0.1,117.0,-0.08,1.05,0.006999999999999999,0.04,0.018000000000000002,4.213,1.068,1.339,1745.0,K,1.05,0.008,0.04,0.015,12.295469,0.7770834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,,-1.0,0.002928754916711425
73,5866724,6169,3.89,89.56,50,0.48,0.08,60.0,0.09,0.48,0.006999999999999999,0.03,0.012,4.224,1.199,1.399,1880.0,K,0.59,0.005,0.028999999999999998,0.012,10.965596000000001,0.7067919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,,-1.0,0.002267662114193214
74,6196457,5871,5.52,66.6,94,1.1,0.11,53.0,0.17,0.48,0.005,0.03,0.012,4.0489999999999995,1.209,1.716,1299.0,K,0.51,0.004,0.019,0.012,11.745063,0.79757977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,,-1.0,0.002783251524691011
75,6278762,5046,11.54,179.64,74,0.76,0.09,144.0,-0.37,0.94,0.002,0.011000000000000001,0.003,4.56,0.7390000000000001,0.748,4538.0,K,0.99,0.003,0.009000000000000001,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,,-1.0,
76,6521045,5825,6.5,77.0,75,1.1,0.1,31.0,0.02,0.56,0.004,0.019,0.012,4.125,1.1079999999999999,1.5130000000000001,1502.0,K,0.46,0.004,0.021,0.009000000000000001,11.12934,0.8210907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,,-1.0,0.002592594033305567
77,7670943,6463,2.78,88.6,110,1.3,0.11,73.0,0.09,0.51,0.008,0.051,0.021,4.228,1.239,1.4169999999999998,1895.0,K,0.62,0.008,0.04,0.015,10.865152,0.6656647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,,-1.0,0.0037696276132590033
78,8077137,6072,6.23,68.8,75,0.64,0.1,39.0,-0.09,1.23,0.01,0.049,0.009000000000000001,4.056,1.117,1.632,1324.0,K,0.56,0.013000000000000001,0.04,0.018000000000000002,11.288569,0.70933723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,,-1.0,0.0033784487162242245
79,8292840,6239,3.85,92.85,94,0.35,0.1,37.0,-0.14,0.75,0.008,0.049,0.018000000000000002,4.24,1.148,1.345,1983.0,K,0.81,0.008,0.051,0.015,10.454015,0.65677834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,,-1.0,0.002388575693006999
80,8349582,5699,8.03,83.6,74,1.4,0.1,90.0,0.3,0.7,0.004,0.019,0.009000000000000001,4.163,1.068,1.4169999999999998,1677.0,K,0.8,0.003,0.021,0.012,12.304376,0.8942957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,,-1.0,0.003999867893683703
81,8478994,5417,5.35,178.7,75,1.4,0.07,50.0,-0.32,1.01,0.002,0.011000000000000001,0.006,4.57,0.81,0.772,4660.0,K,0.91,0.003,0.019,0.003,9.549876,0.93386936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,,-1.0,0.003648951616357037
82,8494142,6144,2.62,61.8,106,0.76,0.1,81.0,0.13,0.24,0.005,0.019,0.012,4.038,1.4180000000000001,1.8869999999999998,1133.0,K,0.26,0.005,0.03,0.012,11.874623,0.74089336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,,-1.0,0.00326850510973117
83,8554498,5945,5.6,61.98,60,0.96,0.05,76.0,0.17,0.42,0.003,0.028999999999999998,0.015,4.007,1.197,1.794,1153.0,K,0.45,0.003,0.021,0.015,11.596043,0.82433605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,,-1.0,0.0026831928673722344
84,8866102,6325,2.6,94.5,75,0.6,0.1,32.0,0.01,0.53,0.008,0.04,0.015,4.262,1.228,1.357,2014.0,K,0.56,0.006999999999999999,0.042,0.012,9.374802,0.6507549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,,-1.0,0.010093508894252753
85,9592705,6174,2.33,53.54,92,0.32,0.1,21.0,0.22,0.16,0.003,0.021,0.012,3.9610000000000003,1.5090000000000001,2.124,1008.0,K,0.18,0.004,0.028999999999999998,0.015,10.966325999999999,0.74557877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,,-1.0,0.00220304520732717
86,10514430,5784,7.84,70.0,98,1.0,0.11,30.0,-0.11,0.91,0.004,0.021,0.018000000000000002,4.061,1.0590000000000002,1.59,1303.0,K,0.4,0.004,0.04,0.015,10.771047,0.79824734,0.1765886086407446,0.046802603591294956,0.05319186034002432,0.5416942874773188,0.38035249307086977,0.3631689292137812,0.9983448949931013,0.5586071667006752,0.4104013223209979,0.21611471023195994,0.06609026015013678,0.22385295570719543,53.555235074569026,27.248587823305037,23.592684377867883,1.227330934905905,0.3252887242494573,0.36969550971049014,1297.4069607652068,5.882824256025515,0.4259168610396349,0.004745935591352501,0.08262315805217185,0.004977567321860166,1.4075169213902015,0.002490928504061074,1.324056224254175,0.05752677360108316,0.7714348768395755,0.043947380426922145,,0.0,,0.0037025366856763935
87,10586004,5770,6.43,69.2,83,1.4,0.1,40.0,0.29,0.61,0.005,0.03,0.012,4.071000000000001,1.178,1.653,1395.0,K,0.64,0.005,0.021,0.009000000000000001,11.64366,0.8412609000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,,-1.0,0.002608388296442947
88,10666592,6350,2.11,59.22,80,0.59,0.08,110.0,0.26,0.24,0.009000000000000001,0.04,0.015,4.0169999999999995,1.4969999999999999,1.986,1115.0,K,0.29,0.006999999999999999,0.042,0.018000000000000002,10.3654175,0.64158916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,,-1.0,0.0035399750028475385
89,11133306,5982,5.14,107.9,82,1.9,0.1,95.0,-0.02,0.88,0.006999999999999999,0.03,0.012,4.314,1.0590000000000002,1.189,2381.0,K,0.86,0.004,0.04,0.012,11.783586,0.77028847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,,-1.0,0.0038118571324985014
90,11295426,5793,6.31,101.57,74,0.1,0.07,13.0,0.12,0.34,0.003,0.019,0.006,4.28,1.068,1.237,2154.0,K,0.32,0.003,0.011000000000000001,0.006,9.933549000000001,0.8083792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,,-1.0,0.0021436307288401828
91,11401755,5911,7.1,67.9,66,1.2,0.06,44.0,-0.2,0.59,0.004,0.021,0.021,4.039,1.0590000000000002,1.632,1250.0,K,0.61,0.004,0.03,0.015,12.076706,0.74852943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,,-1.0,0.003019162853734586
92,11807274,6225,3.59,75.71,75,0.31,0.08,56.0,0.0,0.45,0.009000000000000001,0.04,0.021,4.135,1.239,1.5819999999999999,1496.0,K,0.78,0.006999999999999999,0.04,0.015,10.3621435,0.6872835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,,-1.0,0.003962071449404566
93,11853905,5781,6.71,74.4,76,1.1,0.1,42.0,0.09,0.67,0.004,0.028999999999999998,0.012,4.102,1.117,1.555,1436.0,K,0.77,0.005,0.021,0.012,12.1576605,0.82140255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,,-1.0,0.0037105892942405107
94,11904151,5647,10.23,118.2,74,0.2,0.1,280.0,-0.15,0.67,0.003,0.019,0.009000000000000001,4.343999999999999,0.9179999999999999,1.0659999999999998,2730.0,K,0.83,0.003,0.011000000000000001,0.006,10.919079,0.84401894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,,-1.0,0.002469115222603115
