,KIC,n,l,Freq,e_Freq,E_Freq,Amp,e_Amp,E_Amp,Width,e_Width,E_Width,l_lnK,lnK,source,f,f_e,g,g_e,A,A_e,H,H_e,flag
0,1435467,11,1,889.25,0.47,0.53,,,,,,,>,6.0,L,889.7719483550645,0.32057783432455017,4.267715696843541,1.218314986508663,2.2039522336586117,0.17042893650733276,0.7284561795027693,0.1823396436614995,
1,1435467,11,2,920.04,1.82,1.99,,,,,,,,-0.43,L,921.2209015222755,1.643443970423495,3.0675661934153142,1.5340175897538408,1.334852186786308,0.32437558023163077,0.3800581274792132,0.22721161008434884,
2,1435467,12,0,928.22,0.94,0.71,2.39,0.14,0.13,4.79,0.57,0.96,,2.11,L,927.9208940762185,0.6163081010384021,3.7020344731568597,1.5266825812514218,1.3835225864299723,0.3510996562829443,0.33216331337535343,0.14788023144549645,
3,1435467,12,1,957.04,0.5,0.46,,,,,,,>,6.0,L,957.3932527738118,0.23969083326318855,2.109079572888776,0.6366026085382313,2.062364704372484,0.13829228840604044,1.2820959997179,0.3218523551313481,
4,1435467,12,2,989.14,1.24,1.3,,,,,,,,1.63,L,989.2044935003198,0.39110760963169805,1.597420510458187,0.9522712256981124,1.7233032717060852,0.22174748523228988,1.1614140537576851,0.5573596766324503,
5,1435467,13,0,995.13,0.43,0.53,2.43,0.18,0.12,4.57,0.75,0.72,>,6.0,L,995.3270457711033,0.29495973687863153,3.7636451425608155,1.0001066369681284,2.003650109776904,0.2241699850934938,0.6868510642639262,0.13681845280172003,
6,1435467,13,1,1025.88,0.38,0.36,,,,,,,>,6.0,L,1025.9107234186959,0.23119155810926673,2.6712453359381314,0.6590785020480115,2.2840736494139215,0.13494589327998513,1.2416746905789604,0.28205683863888265,
7,1435467,13,2,1056.68,1.63,1.49,,,,,,,,2.45,L,1056.8052691855296,0.7520351205160475,2.2844257079322494,1.0887852282263142,1.5992453145312506,0.20486780856949072,0.7178031211222655,0.34593502787750596,
8,1435467,14,0,1064.42,0.34,0.36,2.67,0.18,0.13,3.68,0.53,0.97,>,6.0,L,1064.6628849044982,0.2120628312501163,2.9726743514695975,0.6362903724491875,2.0788611799156413,0.1638623749137016,0.9200548044541235,0.16226904010748935,
9,1435467,14,1,1097.0,0.29,0.27,,,,,,,>,6.0,L,1097.0412853385324,0.1814556986878136,3.0938324294217665,0.5248027471753468,3.0345026738674368,0.12640274705308346,1.891342644354212,0.2860722557391416,
10,1435467,14,2,1131.4,1.32,0.99,,,,,,,>,6.0,L,1129.7865238596714,0.4667724654198971,1.5481363962235735,0.9147808847216485,2.0899977006854913,0.2253898981214885,1.7529655303251759,0.6981001498877637,
11,1435467,15,0,1136.15,0.34,0.39,3.41,0.14,0.17,5.05,0.7,1.15,>,6.0,L,1136.157290857302,0.18803051226700876,2.955195408809564,0.5442691301367318,2.6431272643300066,0.2013591750045254,1.4916712976158255,0.2277304765809698,
12,1435467,15,1,1167.86,0.25,0.26,,,,,,,>,6.0,L,1167.8000396179787,0.1423485898266549,3.0536229187557606,0.459713181794514,3.533340298489204,0.12218142910123672,2.593454746982919,0.362767404812805,
13,1435467,15,2,1199.64,0.54,0.61,,,,,,,>,6.0,L,1200.0637304983968,0.4561252579020956,3.2471814253926885,0.7620767251995434,2.762146005309891,0.18819795029992367,1.501177471043324,0.30243112379461307,
14,1435467,16,0,1206.55,0.21,0.24,3.61,0.14,0.16,3.91,0.6,0.61,>,6.0,L,1206.6209055878332,0.13540190764277435,2.604916738904127,0.4511225596063533,2.674944834376478,0.18426350556877516,1.7362095909086945,0.2664495649876185,
15,1435467,16,1,1237.49,0.23,0.23,,,,,,,>,6.0,L,1237.5465417966725,0.14944394855447304,4.0104362265698015,0.4757668369768863,4.1508962156220095,0.12353804913852857,2.7336886093634747,0.30429523354792576,
16,1435467,16,2,1269.06,0.59,0.64,,,,,,,>,6.0,L,1269.9218571324882,0.44100610471847684,3.016857783197975,0.7409700592696913,3.1235767505438936,0.25888462459999134,2.0611083234621277,0.4628248534995393,
17,1435467,17,0,1275.25,0.29,0.31,4.54,0.15,0.15,5.88,0.62,0.52,>,6.0,L,1275.6879335486756,0.230153591933201,3.9675930928363328,0.5905987860214131,3.531808852131788,0.2424262627130521,2.007098931915655,0.24480148716537475,
18,1435467,17,1,1307.14,0.22,0.19,,,,,,,>,6.0,L,1307.0682564175827,0.1369842473981115,4.331466334769541,0.39533432209502145,4.840090500281255,0.11940876087431064,3.449188065283839,0.3176975513103694,
19,1435467,17,2,1339.8,0.7,0.62,,,,,,,>,6.0,L,1341.0126423320219,0.7919947401528286,3.6176070703813545,0.8065723325968444,3.631408301072935,0.6578985521707678,2.4845250874515936,0.64640509419452,
20,1435467,18,0,1343.82,0.35,0.31,4.55,0.13,0.17,5.32,0.53,0.45,>,6.0,L,1343.886101449684,0.34995471543698,4.851427625455552,1.4497655809781478,3.2227607768347015,1.0094977598262125,1.3252289511565407,0.5785086355198163,
21,1435467,18,1,1376.38,0.17,0.18,,,,,,,>,6.0,L,1376.5130980165254,0.10773898795612954,3.542535455720778,0.30977376161295744,5.158544555626061,0.11974722137737298,4.787630075500319,0.44361816093688056,
22,1435467,18,2,1408.44,0.44,0.48,,,,,,,>,6.0,L,1408.5547920014615,0.25496422512430394,2.2556424603961927,0.5453076757894215,3.061660780172609,0.19204102551817204,2.642545329312769,0.5704003805517985,
