,KIC,n,l,Freq,e_Freq,E_Freq,Amp,e_Amp,E_Amp,Width,e_Width,E_Width,l_lnK,lnK,source
73,2837475,19,2,1578.23,1.55,1.25,,,,,,,,4.27,L
74,2837475,20,0,1585.55,0.4,0.46,4.02,0.13,0.12,6.95,0.85,0.74,>,6.0,L
75,2837475,20,1,1620.5,0.31,0.31,,,,,,,>,6.0,L
76,2837475,20,2,1654.17,0.98,1.23,,,,,,,,4.51,L
77,2837475,21,0,1660.12,0.37,0.39,3.82,0.11,0.13,5.73,0.58,0.63,>,6.0,L
78,2837475,21,1,1695.67,0.33,0.31,,,,,,,>,6.0,L
79,2837475,21,2,1731.72,1.11,1.32,,,,,,,>,6.0,L
80,2837475,22,0,1734.45,0.6,0.6,3.83,0.13,0.12,6.58,0.65,0.69,>,6.0,L
81,2837475,22,1,1771.58,0.36,0.36,,,,,,,>,6.0,L
82,2837475,22,2,1806.7,1.58,1.43,,,,,,,>,6.0,L
83,2837475,23,0,1810.87,0.61,0.64,3.44,0.14,0.1,8.17,0.66,1.24,>,6.0,L
84,2837475,23,1,1845.76,0.42,0.4,,,,,,,>,6.0,L
85,2837475,23,2,1882.59,1.54,2.11,,,,,,,>,6.0,L
86,2837475,24,0,1886.75,0.73,0.65,2.96,0.12,0.1,6.79,0.75,0.92,>,6.0,L
87,2837475,24,1,1922.74,0.51,0.53,,,,,,,,5.39,L
88,2837475,24,2,1960.41,2.02,1.79,,,,,,,>,6.0,L
89,2837475,25,0,1965.62,1.16,1.11,2.47,0.1,0.15,8.52,1.14,0.93,>,6.0,L
90,2837475,25,1,2000.59,0.7,0.61,,,,,,,,4.96,L
91,2837475,25,2,2037.36,1.73,1.85,,,,,,,,1.98,L
92,2837475,26,0,2042.05,2.02,2.06,2.09,0.1,0.17,8.16,1.33,1.8,,4.98,L
93,2837475,26,1,2074.98,0.94,1.29,,,,,,,,4.79,L
94,2837475,26,2,2113.08,1.91,1.94,,,,,,,,0.53,L
95,2837475,27,0,2117.22,0.98,1.2,1.85,0.13,0.14,9.5,2.85,2.01,>,6.0,L
96,2837475,27,1,2157.59,1.13,0.95,,,,,,,,4.0,L
97,2837475,27,2,2190.1,1.99,2.26,,,,,,,,0.05,L
98,2837475,28,0,2194.76,0.98,1.18,1.51,0.11,0.1,7.8,1.53,1.68,,3.71,L
99,2837475,28,1,2233.88,1.51,1.41,,,,,,,,3.07,L
100,3427720,14,0,1848.95,3.9,2.74,0.05,0.05,0.59,0.5,0.5,4.02,,1.15,L
101,3427720,14,2,1958.7,0.33,0.3,,,,,,,,1.58,L
102,3427720,15,0,1969.86,0.16,0.16,1.15,0.13,0.14,0.9,0.3,0.39,>,6.0,L
103,3427720,15,1,2025.18,0.14,0.15,,,,,,,>,6.0,L
104,3427720,15,2,2077.46,0.52,0.76,,,,,,,,-0.16,L
105,3427720,16,0,2088.92,0.24,0.24,1.07,0.13,0.15,1.2,0.5,0.46,>,6.0,L
106,3427720,16,1,2144.14,0.17,0.18,,,,,,,>,6.0,L
107,3427720,16,2,2195.88,0.63,0.55,,,,,,,,0.7,L
108,3427720,17,0,2207.58,0.38,0.38,1.4,0.12,0.12,2.13,0.42,0.53,>,6.0,L
109,3427720,17,1,2262.38,0.18,0.17,,,,,,,>,6.0,L
110,3427720,17,2,2314.12,0.36,0.39,,,,,,,,2.64,L
111,3427720,18,0,2325.38,0.17,0.17,1.78,0.09,0.12,1.76,0.29,0.25,>,6.0,L
112,3427720,18,1,2380.83,0.1,0.1,,,,,,,>,6.0,L
113,3427720,18,2,2433.84,0.15,0.14,,,,,,,>,6.0,L
114,3427720,19,0,2444.44,0.13,0.12,2.12,0.11,0.1,1.36,0.19,0.21,>,6.0,L
115,3427720,19,1,2500.83,0.1,0.1,,,,,,,>,6.0,L
116,3427720,19,2,2553.81,0.21,0.21,,,,,,,>,6.0,L
117,3427720,20,0,2564.45,0.15,0.15,2.39,0.1,0.11,1.85,0.18,0.22,>,6.0,L
118,3427720,20,1,2621.01,0.08,0.08,,,,,,,>,6.0,L
119,3427720,20,2,2674.68,0.15,0.15,,,,,,,>,6.0,L
120,3427720,21,0,2684.64,0.09,0.09,2.61,0.1,0.1,1.3,0.14,0.16,>,6.0,L
121,3427720,21,1,2741.29,0.09,0.09,,,,,,,>,6.0,L
122,3427720,21,2,2794.48,0.17,0.17,,,,,,,>,6.0,L
123,3427720,22,0,2804.41,0.16,0.16,2.7,0.1,0.1,2.3,0.18,0.26,>,6.0,L
124,3427720,22,1,2861.09,0.11,0.11,,,,,,,>,6.0,L
125,3427720,22,2,2914.55,0.21,0.2,,,,,,,>,6.0,L
126,3427720,23,0,2924.94,0.19,0.19,2.33,0.11,0.1,2.14,0.3,0.24,>,6.0,L
127,3427720,23,1,2981.66,0.14,0.14,,,,,,,>,6.0,L
128,3427720,23,2,3035.13,0.3,0.31,,,,,,,>,6.0,L
129,3427720,24,0,3044.54,0.29,0.31,2.18,0.11,0.1,3.08,0.37,0.49,>,6.0,L
130,3427720,24,1,3102.15,0.24,0.24,,,,,,,>,6.0,L
131,3427720,24,2,3157.36,0.74,0.85,,,,,,,,2.2,L
132,3427720,25,0,3165.23,0.65,0.52,1.56,0.14,0.11,4.06,1.09,0.9,>,6.0,L
133,3427720,25,1,3222.8,0.37,0.45,,,,,,,>,6.0,L
134,3427720,25,2,3278.52,1.68,1.29,,,,,,,,0.31,L
135,3427720,26,0,3285.56,1.38,1.68,1.34,0.16,0.15,3.99,1.4,1.7,,2.84,L
136,3456181,10,2,626.26,1.72,1.62,,,,,,,,0.19,L
137,3456181,11,0,632.2,0.56,0.67,2.09,0.28,0.35,1.35,0.57,0.86,>,6.0,L
138,3456181,11,1,653.33,0.29,0.32,,,,,,,>,6.0,L
139,3456181,11,2,675.37,1.22,1.05,,,,,,,,1.27,L
140,3456181,12,0,681.6,0.32,0.36,3.4,0.29,0.25,2.46,0.65,0.76,>,6.0,L
141,3456181,12,1,702.74,0.34,0.37,,,,,,,>,6.0,L
142,3456181,12,2,726.93,0.97,1.19,,,,,,,>,6.0,L
143,3456181,13,0,731.85,0.5,0.52,3.84,0.28,0.29,3.56,0.87,0.83,>,6.0,L
144,3456181,13,1,753.94,0.26,0.27,,,,,,,>,6.0,L
145,3456181,13,2,779.59,0.66,0.68,,,,,,,>,6.0,L
146,3456181,14,0,784.16,0.32,0.39,4.29,0.2,0.32,3.32,0.8,0.8,>,6.0,L
147,3456181,14,1,806.15,0.28,0.24,,,,,,,>,6.0,L
148,3456181,14,2,832.76,0.55,0.53,,,,,,,>,6.0,L
149,3456181,15,0,837.07,0.27,0.3,4.71,0.24,0.28,2.88,0.65,0.78,>,6.0,L
150,3456181,15,1,859.14,0.25,0.22,,,,,,,>,6.0,L
151,3456181,15,2,885.1,0.59,0.54,,,,,,,>,6.0,L
152,3456181,16,0,889.34,0.36,0.43,5.54,0.3,0.26,4.02,0.63,0.61,>,6.0,L
153,3456181,16,1,911.3,0.22,0.21,,,,,,,>,6.0,L
154,3456181,16,2,936.31,0.53,0.49,,,,,,,>,6.0,L
155,3456181,17,0,940.71,0.36,0.36,5.74,0.21,0.31,3.47,0.4,0.61,>,6.0,L
156,3456181,17,1,962.46,0.19,0.19,,,,,,,>,6.0,L
157,3456181,17,2,987.16,0.48,0.43,,,,,,,>,6.0,L
158,3456181,18,0,992.26,0.3,0.33,5.88,0.23,0.32,3.38,0.4,0.67,>,6.0,L
159,3456181,18,1,1014.03,0.24,0.23,,,,,,,>,6.0,L
160,3456181,18,2,1039.85,0.75,0.69,,,,,,,>,6.0,L
161,3456181,19,0,1043.26,0.53,0.54,5.38,0.23,0.27,4.56,0.53,0.73,>,6.0,L
162,3456181,19,1,1067.21,0.25,0.27,,,,,,,>,6.0,L
163,3456181,19,2,1094.32,0.7,0.66,,,,,,,>,6.0,L
164,3456181,20,0,1097.55,0.49,0.5,4.73,0.23,0.26,4.35,0.72,0.66,>,6.0,L
165,3456181,20,1,1120.98,0.33,0.31,,,,,,,>,6.0,L
166,3456181,20,2,1146.73,0.69,0.69,,,,,,,>,6.0,L
167,3456181,21,0,1150.17,0.51,0.64,4.28,0.25,0.2,4.41,0.76,0.66,>,6.0,L
168,3456181,21,1,1174.88,0.38,0.38,,,,,,,>,6.0,L
169,3456181,21,2,1200.46,0.92,1.24,,,,,,,>,6.0,L
170,3456181,22,0,1202.89,0.77,0.67,3.94,0.26,0.2,5.94,0.78,0.84,>,6.0,L
171,3456181,22,1,1228.48,0.56,0.67,,,,,,,>,6.0,L
172,3456181,22,2,1252.41,1.44,1.94,,,,,,,>,6.0,L
173,3456181,23,0,1255.24,1.25,0.97,2.92,0.21,0.24,6.91,1.55,1.25,>,6.0,L
174,3456181,23,1,1281.18,0.54,0.54,,,,,,,>,6.0,L
175,3456181,23,2,1306.09,1.31,1.22,,,,,,,>,6.0,L
176,3456181,24,0,1310.74,0.79,0.79,2.8,0.23,0.2,4.22,0.88,1.13,>,6.0,L
177,3456181,24,1,1334.23,0.69,0.6,,,,,,,>,6.0,L
178,3456181,24,2,1356.35,1.79,1.27,,,,,,,,0.26,L
179,3456181,25,0,1364.43,0.7,0.77,2.33,0.24,0.16,4.59,1.15,1.2,,2.52,L
180,3456181,25,1,1391.34,1.37,1.24,,,,,,,,2.29,L
181,3632418,9,2,678.06,2.88,0.81,,,,,,,,0.35,L
182,3632418,10,0,683.11,0.16,0.16,1.33,0.17,0.13,0.85,0.27,0.48,>,6.0,L
183,3632418,10,1,708.44,0.24,0.25,,,,,,,,3.51,L
184,3632418,10,2,737.13,1.45,1.53,,,,,,,>,6.0,L
185,3632418,11,0,740.81,0.29,0.29,1.88,0.13,0.14,2.07,0.55,0.6,>,6.0,L
186,3632418,11,1,766.65,0.19,0.19,,,,,,,>,6.0,L
187,3632418,11,2,794.18,0.41,0.54,,,,,,,,2.92,L
188,3632418,12,0,799.38,0.12,0.13,2.32,0.1,0.16,1.68,0.3,0.46,>,6.0,L
189,3632418,12,1,824.98,0.16,0.16,,,,,,,>,6.0,L
190,3632418,12,2,853.87,0.41,0.42,,,,,,,>,6.0,L
191,3632418,13,0,859.59,0.17,0.17,2.83,0.14,0.08,2.6,0.29,0.31,>,6.0,L
192,3632418,13,1,885.6,0.14,0.16,,,,,,,>,6.0,L
193,3632418,13,2,915.62,0.26,0.28,,,,,,,>,6.0,L
194,3632418,14,0,920.33,0.11,0.13,3.49,0.1,0.12,2.19,0.21,0.25,>,6.0,L
195,3632418,14,1,946.18,0.11,0.11,,,,,,,>,6.0,L
196,3632418,14,2,976.48,0.32,0.31,,,,,,,>,6.0,L
197,3632418,15,0,980.25,0.18,0.19,3.9,0.12,0.11,3.03,0.28,0.3,>,6.0,L
198,3632418,15,1,1005.96,0.11,0.11,,,,,,,>,6.0,L
199,3632418,15,2,1035.14,0.24,0.23,,,,,,,>,6.0,L
200,3632418,16,0,1039.37,0.14,0.14,4.89,0.13,0.11,2.81,0.21,0.24,>,6.0,L
201,3632418,16,1,1065.17,0.1,0.09,,,,,,,>,6.0,L
202,3632418,16,2,1094.74,0.21,0.21,,,,,,,>,6.0,L
203,3632418,17,0,1099.23,0.1,0.09,4.93,0.13,0.11,2.36,0.19,0.21,>,6.0,L
204,3632418,17,1,1125.57,0.09,0.08,,,,,,,>,6.0,L
205,3632418,17,2,1155.42,0.22,0.22,,,,,,,>,6.0,L
206,3632418,18,0,1160.0,0.12,0.12,5.15,0.14,0.11,2.52,0.18,0.24,>,6.0,L
207,3632418,18,1,1186.66,0.1,0.09,,,,,,,>,6.0,L
208,3632418,18,2,1217.41,0.22,0.24,,,,,,,>,6.0,L
209,3632418,19,0,1221.47,0.15,0.13,4.75,0.13,0.11,2.81,0.25,0.19,>,6.0,L
210,3632418,19,1,1248.37,0.1,0.1,,,,,,,>,6.0,L
211,3632418,19,2,1278.86,0.27,0.25,,,,,,,>,6.0,L
212,3632418,20,0,1282.88,0.21,0.2,4.56,0.12,0.11,3.71,0.29,0.19,>,6.0,L
213,3632418,20,1,1309.69,0.13,0.12,,,,,,,>,6.0,L
214,3632418,20,2,1340.01,0.29,0.32,,,,,,,>,6.0,L
215,3632418,21,0,1343.8,0.21,0.19,4.11,0.08,0.12,3.68,0.2,0.34,>,6.0,L
216,3632418,21,1,1371.18,0.14,0.15,,,,,,,>,6.0,L
217,3632418,21,2,1400.63,0.35,0.36,,,,,,,>,6.0,L
218,3632418,22,0,1405.44,0.27,0.27,3.35,0.09,0.1,4.62,0.34,0.34,>,6.0,L
219,3632418,22,1,1432.47,0.2,0.18,,,,,,,>,6.0,L
220,3632418,22,2,1461.78,0.64,0.55,,,,,,,>,6.0,L
221,3632418,23,0,1466.08,0.31,0.35,2.98,0.08,0.09,5.66,0.49,0.49,>,6.0,L
222,3632418,23,1,1493.98,0.28,0.27,,,,,,,>,6.0,L
223,3632418,23,2,1524.08,0.78,0.72,,,,,,,>,6.0,L
224,3632418,24,0,1527.84,0.49,0.55,2.52,0.08,0.08,6.75,0.78,0.59,>,6.0,L
225,3632418,24,1,1555.85,0.32,0.32,,,,,,,>,6.0,L
226,3632418,24,2,1587.47,0.81,0.88,,,,,,,>,6.0,L
227,3632418,25,0,1589.73,0.53,0.56,1.96,0.09,0.08,5.9,0.8,0.63,>,6.0,L
228,3632418,25,1,1618.03,0.5,0.49,,,,,,,>,6.0,L
229,3632418,25,2,1646.02,1.41,1.21,,,,,,,,1.62,L
230,3632418,26,0,1650.76,0.78,0.91,1.67,0.08,0.09,7.92,1.45,1.39,>,6.0,L
231,3632418,26,1,1680.33,0.64,0.77,,,,,,,,3.99,L
232,3632418,26,2,1709.45,1.81,1.78,,,,,,,,0.67,L
233,3632418,27,0,1715.92,1.05,0.98,1.19,0.07,0.09,6.4,1.91,1.83,,3.14,L
234,3632418,27,1,1742.03,0.93,0.83,,,,,,,>,6.0,L
235,3656476,12,1,1297.17,3.03,0.63,,,,,,,>,6.0,L
236,3656476,13,0,1350.54,0.44,0.33,1.29,0.28,0.21,0.86,0.51,0.98,>,6.0,L
237,3656476,13,1,1391.43,0.36,0.31,,,,,,,>,6.0,L
238,3656476,14,0,1443.63,0.5,0.42,1.94,0.28,0.17,2.02,0.63,0.88,>,6.0,L
239,3656476,14,1,1483.94,0.18,0.17,,,,,,,>,6.0,L
240,3656476,14,2,1529.46,0.24,0.28,,,,,,,>,6.0,L
241,3656476,15,0,1534.94,0.13,0.13,2.04,0.11,0.17,1.07,0.21,0.23,>,6.0,L
242,3656476,15,1,1575.4,0.08,0.08,,,,,,,>,6.0,L
243,3656476,15,2,1621.2,0.16,0.16,,,,,,,>,6.0,L
244,3656476,16,0,1626.73,0.07,0.08,2.93,0.12,0.15,0.93,0.14,0.13,>,6.0,L
245,3656476,16,1,1667.58,0.08,0.07,,,,,,,>,6.0,L
246,3656476,16,2,1713.76,0.1,0.1,,,,,,,>,6.0,L
247,3656476,17,0,1719.2,0.06,0.05,3.57,0.14,0.14,0.91,0.09,0.11,>,6.0,L
248,3656476,17,1,1760.69,0.07,0.06,,,,,,,>,6.0,L
249,3656476,17,2,1807.31,0.08,0.07,,,,,,,>,6.0,L
250,3656476,18,0,1812.34,0.06,0.06,4.18,0.15,0.18,0.81,0.1,0.08,>,6.0,L
251,3656476,17,3,1846.91,0.27,0.34,,,,,,,>,6.0,L
252,3656476,18,1,1854.23,0.04,0.04,,,,,,,>,6.0,L
253,3656476,18,2,1900.97,0.07,0.06,,,,,,,>,6.0,L
254,3656476,19,0,1905.62,0.07,0.06,4.69,0.24,0.13,0.68,0.13,0.18,>,6.0,L
255,3656476,18,3,1941.57,0.64,0.52,,,,,,,,2.78,L
