,KIC,i,u_i,l_i,nus,l_nus,u_nus,nus*,l_nus*,u_nus*,P,l_P,u_P,label
0,1435467,57.190635451505024,11.739130434782602,8.729096989966557,1.653867087566995,0.26037989154115815,0.21241517467831317,1.3569378010465127,0.08836028216081826,0.10603233859298178,8.529553871332782,0.0781408982130252,0.06511741517752108,L
1,2837475,82.47491638795987,5.418060200668904,7.22408026755852,2.6803115510987494,0.15923953461889662,0.1560547439265183,2.607719028904657,0.14585079760275788,0.14585079760275743,4.4383900051285945,0.055930411208457695,0.05593041120845786,L
2,3427720,18.662207357859533,26.187290969899667,12.34113712374582,0.5845702176593551,0.6675345945386081,0.3650579813883013,0.1836951169244946,0.09281823914864093,0.12106726845474902,63.0069773647355,0.659066340367186,0.5052841942815095,L
3,3456181,47.85953177257525,27.993311036789308,18.662207357859533,1.0765363590705272,0.6163732984578447,0.2925161416410109,0.7833989350622297,0.12213423486021724,0.15161491224026968,14.774176420286658,0.1935347438635796,0.15590298811232803,L
4,3632418,87.545273375,1.96351682,13.74461774,0.9498896211345353,0.5598579760598249,0.08774555088197641,0.94901798,0.0364310910949,0.0364310910949,12.1323537902,0.8770376233849999,0.292345874462,K
5,3656476,24.08026755852843,7.826086956521738,8.42809364548495,0.43073376744438774,0.1647216100611859,0.1006632061485025,0.1701076840261335,0.03110370622310768,0.04250839850491381,68.03968991956859,0.24989111308095452,0.18284715591289366,L
6,3735871,54.48160535117057,25.886287625418063,18.66220735785953,0.8121446950031441,0.34948805250556214,0.1644649658849704,0.6474935350155473,0.07535636593392991,0.08220694465519618,17.875196350487364,0.12696179994016815,0.11638164994515426,L
7,4914923,29.79933110367893,4.515050167224082,3.9130434782608674,0.8146991209571347,0.11118604451116065,0.11118604451116065,0.3866637934855324,0.03323557508895253,0.033235575088952585,29.93317261422651,0.08595471220450886,0.08595471220450872,L
8,5184732,45.752508361204015,10.836120401337794,9.632107023411372,0.7411340570734356,0.16482124060147674,0.13597752349621828,0.5078748932972761,0.030431685655348706,0.033692223404136246,22.789222753130627,0.06633961207532083,0.059919649616418484,L
9,5773345,28.294314381270905,8.127090301003346,7.5250836120401345,1.5551403512194522,0.43526049912443243,0.31090035651745174,0.7063137028758851,0.12799203473167664,0.15447314536581658,16.386591435148603,0.2187033109181529,0.18121131476075533,L
10,5950854,11.438127090301004,15.652173913043478,7.826086956521739,1.262340283872474,1.219144910760197,0.9817892644175038,0.1931547399887587,0.21268107284014898,0.14178738189343265,59.921253160795665,0.7340611051102574,1.1010916576653862,L
11,6106415,45.752508361204015,7.224080267558527,7.826086956521735,0.9775753121022677,0.17055236715532396,0.11486179828827925,0.6733584277736973,0.024711413113520986,0.024711413113520986,17.188578321267997,0.03669875076075533,0.03669875076075533,L
12,6116048,45.15050167224081,5.418060200668897,4.214046822742475,0.8799138017472297,0.09344346799295233,0.08643520789348103,0.6052688758945192,0.021208453314235487,0.023859509978515048,19.122202602882723,0.03941968756158721,0.03503972227696622,L
13,6225718,30.401337792642142,6.020066889632108,3.3110367892976598,1.4828617291035389,0.20239874828620597,0.28213158852016584,0.7164451875486346,0.045957153529872175,0.04754188296193651,16.154863310165492,0.06635801843348862,0.06414608448570597,L
